Distribution,Communication Type,NP,Input World Size,Estimated Computation Time,Estimation Communication Time,Estimated Speedup,Actual Time,Actual Speedup,Efficiency
Serial,none,1,900,0.003321,0,-,0.003321812556,-,-
Row,sync,9,900,0.000369,0.0000160462,8.624939033,0.001032438364,3.217443938,0.3574937709
Row,sync,25,900,0.00013284,0.0000160462,22.30562671,0.0003916338996,8.481933151,0.3392773261
Block,sync,9,900,0.000369,0.000023175964,8.468137532,0.0004439029369,7.483195717,0.8314661908
Block,sync,25,900,0.00013284,0.000021395644,21.53198777,0.0004166506671,7.972656277,0.3189062511
Row,async,9,900,0.000369,0.0000066762,8.840059605,0.0007830303353,0.5321002882,0.05912225425
Row,async,25,900,0.00013284,0.0000066762,23.80368731,0.0002682395168,12.38375537,0.4953502148
Block,async,9,900,0.000369,0.000004435964,8.893090972,0.0007313724991,4.541888791,0.5046543102
Block,async,25,900,0.00013284,0.000002655644,24.51001303,0.0002236246943,14.85440848,0.5941763393
,,,,,,,,,
Serial,none,1,2700,0.029889,0,-,0.03343059543,-,-
Row,sync,9,2700,0.003321,0.0000293986,8.921028083,0.009229498701,3.622146393,0.4024607103
Row,sync,25,2700,0.00119556,0.0000293986,24.40000829,0.001313595301,25.4496917,1.017987668
Block,sync,9,2700,0.003321,0.000032077564,8.913900567,0.003810601855,8.77304864,0.9747831823
Block,sync,25,2700,0.00119556,0.000026736604,24.4531482,0.0013419446,24.91205331,0.9964821324
Row,async,9,2700,0.003321,0.0000200286,8.946047334,0.007272724089,4.596708883,0.5107454315
Row,async,25,2700,0.00119556,0.0000200286,24.58808844,0.002499537065,13.37471482,0.5349885927
Block,async,9,2700,0.003321,0.000013337564,8.963999423,0.006938037613,4.818451166,0.5353834629
Block,async,25,2700,0.00119556,0.000007996604,24.83389639,0.001884309348,17.74156428,0.7096625711
,,,,,,,,,
Serial,none,1,5400,0.119556,0,-,0.1357311835,-,-
Row,sync,9,5400,0.013284,0.0000494272,8.966636875,0.04136996374,3.280911347,0.3645457052
Row,sync,25,5400,0.00478224,0.0000494272,24.74425391,0.005155008159,26.32996481,1.053198593
Block,sync,9,5400,0.013284,0.000045429964,8.969325794,0.01711879656,7.928780683,0.8809756314
Block,sync,25,5400,0.00478224,0.000034748044,24.81965886,0.01343210379,10.10498322,0.404199329
Row,async,9,5400,0.013284,0.0000400572,8.972942566,0.03290318296,4.12516879,0.4583520878
Row,async,25,5400,0.00478224,0.0000400572,24.79233341,0.009782681245,13.8746403,0.554985612
Block,async,9,5400,0.013284,0.000026689964,8.981953627,0.03202808644,4.237879891,0.4708755434
Block,async,25,5400,0.00478224,0.000016008044,24.91659433,0.007208812213,18.8285087,0.7531403479
,,,,,,,,,
