Distribution,Communication Type,NP,Input World Size,Estimated Computation Time,Estimation Communication Time,Estimated Speedup,Actual Time,Actual Speedup,Efficiency
Serial,none,1,900,0.0140292,0,-,0.01403986202,-,-
Row,sync,9,900,0.0015588,0.0000160462,8.908298474,0.001606867478,8.737411278,0.9708234753
Row,sync,25,900,0.000561168,0.0000160462,24.30501537,0.0005892110658,23.82823887,0.953129555
Block,sync,9,900,0.0015588,0.000023175964,8.868149908,0.002269642489,6.185935491,0.6873261656
Block,sync,25,900,0.000561168,0.000021395644,24.08183234,0.0006012503688,23.35110755,0.9340443019
Row,async,9,900,0.0015588,0.0000066762,8.961618196,0.002275048075,0.2642802916,0.02936447684
Row,async,25,900,0.000561168,0.0000066762,24.70607255,0.0008207536913,17.10606017,0.6842424066
Block,async,9,900,0.0015588,0.000004435964,8.974460877,0.001616853613,8.683446611,0.9648274012
Block,async,25,900,0.000561168,0.000002655644,24.88224846,0.0005731589801,24.49558065,0.9798232261
,,,,,,,,,
Serial,none,1,2700,0.1262628,0,-,0.1267200522,-,-
Row,sync,9,2700,0.0140292,0.0000293986,8.981179675,0.01444039086,8.775389359,0.9750432621
Row,sync,25,2700,0.005050512,0.0000293986,24.8553193,0.005199314016,24.37245603,0.9748982412
Block,sync,9,2700,0.0140292,0.000032077564,8.979468574,0.01446238505,8.762043865,0.9735604295
Block,sync,25,2700,0.005050512,0.000026736604,24.86835092,0.005277026535,24.01353327,0.9605413306
Row,async,9,2700,0.0140292,0.0000200286,8.987169587,0.03049824951,4.15499428,0.4616660311
Row,async,25,2700,0.005050512,0.0000200286,24.90125017,0.01100568915,11.51404974,0.4605619896
Block,async,9,2700,0.0140292,0.000013337564,8.991451824,0.01712030573,7.40174003,0.8224155588
Block,async,25,2700,0.005050512,0.000007996604,24.96047944,0.00510036826,24.84527505,0.9938110019
,,,,,,,,,
Serial,none,1,5400,0.5050512,0,-,0.5003820885,-,-
Row,sync,9,5400,0.0561168,0.0000494272,8.992079853,0.05788604434,8.644261223,0.9604734692
Row,sync,25,5400,0.020202048,0.0000494272,24.93898321,0.02082800148,24.0244888,0.9609795521
Block,sync,9,5400,0.0561168,0.000045429964,8.992719846,0.05795468548,8.634023018,0.9593358909
Block,sync,25,5400,0.020202048,0.000034748044,24.95707319,0.02087042279,23.97565653,0.9590262612
Row,async,9,5400,0.0561168,0.0000400572,8.993580218,0.1017368341,4.918396495,0.5464884994
Row,async,25,5400,0.020202048,0.0000400572,24.95052738,0.03770358195,13.2714735,0.5308589398
Block,async,9,5400,0.0561168,0.000026689964,8.995721504,0.05618877831,8.905374053,0.9894860059
Block,async,25,5400,0.020202048,0.000016008044,24.98020576,0.02003748288,24.97230273,0.9988921093
,,,,,,,,,
Serial,none,1,9000,1.40292,0,-,1.390032655,-,-
Row,sync,9,9000,0.15588,0.000076132,8.995606534,0.1605425933,8.658341858,0.9620379843
Row,sync,25,9000,0.0561168,0.000076132,24.96612919,0.05783255178,24.03547159,0.9614188636
Block,sync,9,9000,0.15588,0.000063233164,8.996350605,0.1618214723,8.589914771,0.9544349746
Block,sync,25,9000,0.0561168,0.000045429964,24.97977735,0.05793522534,23.99287562,0.9597150247
Row,async,9,9000,0.15588,0.000066762,8.996147031,0.3115287974,4.461971628,0.4957746253
Row,async,25,9000,0.0561168,0.000066762,24.97029291,0.1149880169,12.08850011,0.4835400045
Block,async,9,9000,0.15588,0.000044493164,8.997431844,0.1607266602,8.648426178,0.960936242
Block,async,25,9000,0.0561168,0.000026689964,24.98811529,0.05573969975,24.93792865,0.997517146
,,,,,,,,,
Serial,none,1,12600,2.7497232,0,-,2.833855488,-,-
Row,sync,9,12600,0.3055248,0.0001028368,8.996971703,0.3056398251,9.271879038,1.030208782
Row,sync,25,12600,0.109988928,0.0001028368,24.97664748,0.1570677382,18.04225056,0.7216900223
Block,sync,9,12600,0.3055248,0.000081036364,8.997613503,0.315937177,8.969680348,0.9966311498
Block,sync,25,12600,0.109988928,0.000056111884,24.98725252,0.1138042295,24.90114383,0.9960457532
Row,async,9,12600,0.3055248,0.0000934668,8.997247543,0.628511613,4.508835524,0.5009817248
Row,async,25,12600,0.109988928,0.0000934668,24.97877345,0.2205768469,12.84747483,0.5138989931
Block,async,9,12600,0.3055248,0.000062296364,8.998165278,0.4874276605,5.813899616,0.6459888462
Block,async,25,12600,0.109988928,0.000037371884,24.99150842,0.1092607999,25.93661671,1.037464668
,,,,,,,,,
Serial,none,1,900,0.0140292,0,0.0140292,0.01386801092,-,-
Row,async-overlapped,9,900,0.0015588,0.0000160462,0.0015588,0.002268790483,6.112512822,0.6791680913
Row,async-overlapped,25,900,0.000561168,0.0000160462,0.000561168,0.0007151177934,19.3926246,0.7757049841
