Initalizing particles linear on 0 to 16320
Iteration 0:	3.00532889366149902343750000000000000000000000000000000000000000000000000000000000 seconds	0.00000095367431640625000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 1:	2.80234813690185546875000000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 2:	3.00743699073791503906250000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 3:	2.80272412300109863281250000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 4:	3.00586700439453125000000000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 5:	2.80244588851928710937500000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 6:	3.00388097763061523437500000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 7:	2.80247211456298828125000000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 8:	3.00382494926452636718750000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 9:	2.80247807502746582031250000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 10:	3.00372600555419921875000000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 11:	2.82123804092407226562500000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 12:	3.00652599334716796875000000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 13:	2.80351209640502929687500000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 14:	3.00410389900207519531250000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 15:	2.80263614654541015625000000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 16:	3.00414490699768066406250000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 17:	2.80226898193359375000000000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 18:	3.00373792648315429687500000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 19:	2.80327916145324707031250000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 20:	3.00453495979309082031250000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 21:	2.80240011215209960937500000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 22:	3.00593996047973632812500000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 23:	2.80321788787841796875000000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 24:	3.00438809394836425781250000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 25:	2.80368900299072265625000000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 26:	3.00404596328735351562500000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 27:	2.80271911621093750000000000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 28:	3.00567984580993652343750000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 29:	2.80257606506347656250000000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 30:	3.00419306755065917968750000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 31:	2.80380201339721679687500000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 32:	3.00413584709167480468750000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 33:	2.80430197715759277343750000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Iteration 34:	3.00415706634521484375000000000000000000000000000000000000000000000000000000000000 seconds	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000 seconds
Total computation time was: 101.753946		Average frame time was: 2.907250		Average Particle interations per second were: 91613163.795434
