Iteration 1:	1.0516340000 seconds	0.010539 seconds
Iteration 2:	1.0326150000 seconds	0.010220 seconds
Iteration 3:	1.0323850000 seconds	0.010250 seconds
Iteration 4:	1.0344010000 seconds	0.010158 seconds
Iteration 5:	1.0328280000 seconds	0.011763 seconds
Iteration 6:	1.0352950000 seconds	0.010191 seconds
Iteration 7:	1.0342520000 seconds	0.010623 seconds
Iteration 8:	1.0370090000 seconds	0.010003 seconds
Iteration 9:	1.0362910000 seconds	0.010110 seconds
Iteration 10:	1.0384470000 seconds	0.011283 seconds
Iteration 11:	1.0382310000 seconds	0.010119 seconds
Iteration 12:	1.0374010000 seconds	0.010201 seconds
Iteration 13:	1.0397250000 seconds	0.010181 seconds
Iteration 14:	1.0384410000 seconds	0.010257 seconds
Iteration 15:	1.0403120000 seconds	0.011432 seconds
Iteration 16:	1.0414420000 seconds	0.010276 seconds
Iteration 17:	1.0424000000 seconds	0.010253 seconds
Iteration 18:	1.0420680000 seconds	0.010340 seconds
Iteration 19:	1.0420330000 seconds	0.010342 seconds
Iteration 20:	1.0435050000 seconds	0.011499 seconds
Iteration 21:	1.0428460000 seconds	0.011858 seconds
Iteration 22:	1.0473570000 seconds	0.010326 seconds
Iteration 23:	1.0508130000 seconds	0.010383 seconds
Iteration 24:	1.0483220000 seconds	0.010241 seconds
Iteration 25:	1.0491790000 seconds	0.010274 seconds
Iteration 26:	1.0510880000 seconds	0.010218 seconds
Iteration 27:	1.0499040000 seconds	0.010289 seconds
Iteration 28:	1.0498150000 seconds	0.010341 seconds
Iteration 29:	1.0502010000 seconds	0.010255 seconds
Iteration 30:	1.0505220000 seconds	0.011484 seconds
Total computation time was: 30.209128		Average frame time was: 1.041694		Average Particle interations per second were: 302258170.974018
